Tax.dist	MCC	True.Pos	True.Neg	False.Pos	False.Neg	Method	FPR	FDR	PPV
0	0.188	3450	14833028	43636	3645	GraftM	0.0029	0.9267	0.0733
1	0.497	15903	14833028	36198	3645	GraftM	0.0024	0.6948	0.3052
2	0.651	26285	14833028	27992	3645	GraftM	0.0019	0.5157	0.4843
3	0.678	27355	14833028	24984	3645	GraftM	0.0017	0.4773	0.5227
4	0.704	27891	14833028	21768	3645	GraftM	0.0015	0.4383	0.5617
5	0.728	28905	14833028	19473	3645	GraftM	0.0013	0.4025	0.5975
6	0.819	34403	14833028	11934	3645	GraftM	0.0008	0.2575	0.7425
7	0.856	36313	14832419	8657	3645	GraftM	0.0006	0.1925	0.8075
0	0.295	6100	14838168	31190	5260	TreeSAPP-aELW	0.0021	0.8364	0.1636
1	0.562	15736	14838168	21554	5260	TreeSAPP-aELW	0.0015	0.578	0.422
2	0.682	21600	14838168	15690	5260	TreeSAPP-aELW	0.0011	0.4208	0.5792
3	0.731	24289	14838168	13001	5260	TreeSAPP-aELW	0.0009	0.3486	0.6514
4	0.786	27458	14838168	9832	5260	TreeSAPP-aELW	0.0007	0.2637	0.7363
5	0.879	33383	14838168	3907	5260	TreeSAPP-aELW	0.0003	0.1048	0.8952
6	0.892	34235	14838168	3055	5260	TreeSAPP-aELW	0.0002	0.0819	0.9181
7	0.894	34674	14837781	3003	5260	TreeSAPP-aELW	0.0002	0.0797	0.9203
0	0.302	6278	14838267	30903	5270	TreeSAPP-LCA	0.0021	0.8312	0.1688
1	0.584	16739	14838267	20442	5270	TreeSAPP-LCA	0.0014	0.5498	0.4502
2	0.705	22804	14838267	14377	5270	TreeSAPP-LCA	0.001	0.3867	0.6133
3	0.753	25462	14838267	11719	5270	TreeSAPP-LCA	0.0008	0.3152	0.6848
4	0.807	28673	14838267	8508	5270	TreeSAPP-LCA	0.0006	0.2288	0.7712
5	0.891	34070	14838267	3111	5270	TreeSAPP-LCA	0.0002	0.0837	0.9163
6	0.894	34271	14838267	2910	5270	TreeSAPP-LCA	0.0002	0.0783	0.9217
7	0.895	34664	14837880	2904	5270	TreeSAPP-LCA	0.0002	0.0773	0.9227
0	0.496	12922	14838267	24259	5270	TreeSAPP-LM	0.0016	0.6525	0.3475
1	0.729	24116	14838267	13065	5270	TreeSAPP-LM	0.0009	0.3514	0.6486
2	0.804	28516	14838267	8665	5270	TreeSAPP-LM	0.0006	0.233	0.767
3	0.856	31817	14838267	5364	5270	TreeSAPP-LM	0.0004	0.1443	0.8557
4	0.886	33787	14838267	3394	5270	TreeSAPP-LM	0.0002	0.0913	0.9087
5	0.893	34220	14838267	2961	5270	TreeSAPP-LM	0.0002	0.0796	0.9204
6	0.893	34249	14838267	2932	5270	TreeSAPP-LM	0.0002	0.0789	0.9211
7	0.895	34664	14837880	2904	5270	TreeSAPP-LM	0.0002	0.0773	0.9227
