Sample.Name,Fasta.Length,Software,Molecule,Threads,Time (mm:ss),Memory.Max (kbytes)
sim_1000.1,8024000,TreeSAPP v0.6.8,nuc,16,19:02.03,590620
sim_1000.1,2081424,TreeSAPP v0.6.8,aa,16,18:21.75,590476
sim_1000.1,8024000,TreeSAPP v0.6.8,nuc,8,18:44.73,590588
sim_1000.1,2081424,TreeSAPP v0.6.8,aa,8,18:22.65,590664
sim_1000.1,8024000,TreeSAPP v0.6.8,nuc,4,18:41.99,590556
sim_1000.1,2081424,TreeSAPP v0.6.8,aa,4,18:08.67,590556
sim_1000.2,8024000,TreeSAPP v0.6.8,nuc,16,12:20.17,588492
sim_1000.2,2074338,TreeSAPP v0.6.8,aa,16,11:45.01,588376
sim_1000.2,8024000,TreeSAPP v0.6.8,nuc,8,12:16.26,588420
sim_1000.2,2074338,TreeSAPP v0.6.8,aa,8,11:40.98,588376
sim_1000.2,8024000,TreeSAPP v0.6.8,nuc,4,12:12.96,588292
sim_1000.2,2074338,TreeSAPP v0.6.8,aa,4,11:41.50,588292
sim_2000.1,15984000,TreeSAPP v0.6.8,nuc,16,26:19.69,592120
sim_2000.1,4132975,TreeSAPP v0.6.8,aa,16,25:25.65,592120
sim_2000.1,15984000,TreeSAPP v0.6.8,nuc,8,26:13.82,592172
sim_2000.1,4132975,TreeSAPP v0.6.8,aa,8,25:13.83,592232
sim_2000.1,15984000,TreeSAPP v0.6.8,nuc,4,26:37.79,592344
sim_2000.1,4132975,TreeSAPP v0.6.8,aa,4,25:35.50,592316
sim_4000.1,31984000,TreeSAPP v0.6.8,nuc,16,45:19.23,593088
sim_4000.1,8268688,TreeSAPP v0.6.8,aa,16,43:36.57,592964
sim_4000.1,31984000,TreeSAPP v0.6.8,nuc,8,45:21.66,593172
sim_4000.1,8268688,TreeSAPP v0.6.8,aa,8,43:48.75,593096
sim_4000.1,31984000,TreeSAPP v0.6.8,nuc,4,45:31.35,593032
sim_4000.1,8268688,TreeSAPP v0.6.8,aa,4,42:54.11,593060
sim_8000.1,64008000,TreeSAPP v0.6.8,nuc,16,54:40.96,593664
sim_128000.1,1023976000,TreeSAPP v0.6.8,nuc,16,5:55:38,6217608
sim_128000.1,264692092,TreeSAPP v0.6.8,aa,16,5:43:06,3592676
sim_128000.1,1023976000,TreeSAPP v0.6.8,nuc,8,6:00:44,6219920
sim_128000.1,264692092,TreeSAPP v0.6.8,aa,8,5:43:44,3593476
sim_128000.1,1023976000,TreeSAPP v0.6.8,nuc,4,6:12:30,6201868
sim_128000.1,264692092,TreeSAPP v0.6.8,aa,4,5:46:23,3593488
